Data Access Size, RW Ratio, IO queue depth, Read Bandwidth (KB/s), Read IOPS, Read Latency (ns), Write Bandwidth (KB/s), Write IOPS, Write Latency (ns)
32, 100:0, 32, 1185434, 37044.832888, 863506.285158, 0, 0.0, 0.0
32, 70:30, 1, 165052, 5157.88626, 174001.296945, 70873, 2214.804555, 43813.799375
32, 100:0, 4, 754256, 23570.516451, 169411.994626, 0, 0.0, 0.0
128, 50:50, 256, 323603, 2528.153799, 51752052.953311, 322294, 2517.924071, 49694896.5732
128, 0:100, 32, 0, 0.0, 0.0, 341898, 2671.0858, 11976650.295395
8, 70:30, 256, 349479, 43684.981935, 5566911.805156, 149819, 18727.38428, 682122.929124
16, 100:0, 1024, 1035298, 64706.127642, 15822185.664515, 0, 0.0, 0.0
64, 50:50, 4, 255910, 3998.604034, 815748.737327, 255305, 3989.146367, 182946.635292
128, 50:50, 32, 265607, 2075.06062, 9727158.593536, 264533, 2066.664254, 5712076.536092
32, 70:30, 8, 392070, 12252.199862, 631612.353888, 168355, 5261.114087, 48456.483511
8, 70:30, 8, 281514, 35189.313857, 218883.253195, 120682, 15085.36284, 18583.648477
128, 0:100, 256, 0, 0.0, 0.0, 332447, 2597.24933, 98558987.325953
